2025-02-11 12:08:43 INFO     Program started
2025-02-11 12:09:23 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:24 ERROR    LowSolidFuel
2025-02-11 12:09:25 ERROR    LowSolidFuel
2025-02-11 12:09:25 ERROR    LowSolidFuel
2025-02-11 12:09:25 ERROR    LowSolidFuel
2025-02-11 12:09:25 ERROR    LowSolidFuel
2025-02-11 12:09:25 ERROR    LowSolidFuel
2025-02-11 12:09:26 ERROR    LowSolidFuel
2025-02-11 12:09:26 ERROR    LowSolidFuel
2025-02-11 12:09:26 ERROR    LowSolidFuel
2025-02-11 12:09:26 ERROR    LowSolidFuel
2025-02-11 12:09:26 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:27 ERROR    LowSolidFuel
2025-02-11 12:09:28 ERROR    LowSolidFuel
2025-02-11 12:09:28 ERROR    LowSolidFuel
2025-02-11 12:09:28 ERROR    LowSolidFuel
2025-02-11 12:09:28 ERROR    LowSolidFuel
2025-02-11 12:09:28 ERROR    LowSolidFuel
2025-02-11 12:09:29 ERROR    LowSolidFuel
2025-02-11 12:09:29 ERROR    LowSolidFuel
2025-02-11 12:09:29 ERROR    LowSolidFuel
2025-02-11 12:09:29 ERROR    LowSolidFuel
2025-02-11 12:09:29 ERROR    LowSolidFuel
